security,lob_v_mean,lob_v_std,lob_p_mean,lob_p_std,vol_mean,vol_std,vol2_mean,vol2_std,vol5_mean,vol5_std,vol10_mean,vol10_std,vol20_mean,vol20_std,vol30_mean,vol30_std,vol60_mean,vol60_std
ED,151.3014210927961,274.119089352922,81.59971002777777,5.522628392696747,8.880828144078144,68.71268740265963,17.76165628815629,99.70982756494992,44.40414072039072,163.74969563191718,88.80828144078144,244.03196272850641,177.61656288156288,374.2515227572368,266.4248443223443,486.1773676856962,532.8496886446886,797.608096930617
EFX,67.89060387667888,71.19033648574364,258.788649559829,25.09506846316082,3.2249139194139196,31.81552664129066,6.449827838827839,46.03037680685821,16.1245695970696,75.25790679336316,32.2491391941392,110.46795754954763,64.4982783882784,165.35416135784044,96.74741758241758,212.48237141426412,193.49483516483517,337.9355276564531
EIX,157.51947973137973,164.458177789697,63.04538531471306,3.6496140035784492,7.1557384004884,53.47523668740567,14.3114768009768,77.99330743590103,35.778692002442,129.82369742533663,71.557384004884,195.35479017749557,143.114768009768,300.5595854275929,214.67215201465203,396.087873960416,429.34430402930406,642.2701381616223
EL,62.7949297008547,73.24649419565314,321.52663099511614,28.613860864050743,4.309483821733822,36.182246829586205,8.618967643467643,52.51809726397655,21.547419108669107,87.02854457780191,43.094838217338214,128.7825667344906,86.18967643467643,197.4642742597524,129.28451465201465,253.06179064557756,258.5690293040293,404.78454138209736
EMN,80.86046398046398,90.62094667908215,113.5086479612332,6.777204634393537,4.398678571428571,37.1791366360366,8.797357142857143,53.98671492370509,21.993392857142858,90.61837966553854,43.986785714285716,135.53645887493525,87.97357142857143,204.73494709703292,131.96035714285713,264.9505350092805,263.92071428571427,421.2633811914147
EMR,143.5415898962149,150.7152466308032,95.1347372124542,3.2729452762906317,19.261167277167278,92.51164806286057,38.522334554334556,135.80986824650665,96.30583638583639,231.8419290838506,192.61167277167277,358.2387072800215,385.22334554334554,568.4355888326899,577.8350183150183,756.6783338466298,1155.6700366300365,1275.7554346919917
ENPH,68.06097683150183,156.52647632398666,180.50199380525032,37.13996085088092,19.169550366300367,124.15705346019898,38.339100732600734,182.02402397580363,95.84775183150182,309.714811041632,191.69550366300365,472.500748184305,383.3910073260073,758.1835434729011,575.086510989011,1019.6144801758883,1150.173021978022,1747.511856596738
EOG,105.20283675213675,130.62940527201695,97.14840056898662,15.031036759534398,24.767582417582418,109.0839096955768,49.535164835164835,161.1883134594844,123.83791208791209,276.6614668358828,247.67582417582418,428.1098150806623,495.35164835164835,684.9077603603281,743.0274725274726,922.7538756332459,1486.0549450549452,1567.9734751506203
EQIX,43.77437133699634,91.91616014314899,771.9132156016485,56.95593377386837,3.178948717948718,35.00390554617828,6.357897435897436,51.19978994704919,15.89474358974359,85.86891942611135,31.78948717948718,129.92121807685848,63.57897435897436,201.01423549520004,95.36846153846155,263.132003714774,190.7369230769231,434.2861350011865
EQR,130.4088105921856,144.27403702045396,86.65451955769232,2.752857590240353,6.685113247863248,48.89267908644709,13.370226495726495,72.47423943913321,33.42556623931624,126.91092029843217,66.85113247863248,202.66225003983436,133.70226495726496,319.02046220232216,200.55339743589744,442.03997389641154,401.1067948717949,720.7993358805517
ES,133.15539352869354,141.7618844801868,85.96307954242982,2.759020463117008,6.778967948717948,50.77674011626532,13.557935897435897,74.29655259620645,33.89483974358974,124.98992015129828,67.78967948717948,189.3800530478015,135.57935897435897,296.2894751411912,203.36903846153845,391.88833491597404,406.7380769230769,658.3756884956814
ESS,50.609674175824175,71.26775486658829,336.19589945940163,10.53022775344496,1.1091278998779,15.013290504516954,2.2182557997558,21.63021455894949,5.545639499389499,34.94683178711241,11.091278998778998,50.47133247057794,22.182557997557996,73.54120313827083,33.273836996336996,92.04481461720059,66.54767399267399,138.45739085546057
ETN,74.61018687423687,98.69779629241846,161.12926067338213,8.043000118368102,7.638561355311356,51.48947698618868,15.277122710622711,74.83307831572321,38.19280677655678,123.88965031542503,76.38561355311356,185.2705064010848,152.77122710622712,282.9008461775418,229.15684065934067,368.2061476764366,458.31368131868135,599.0736551512994
ETR,105.04966425518926,100.99537562721991,107.79073199206351,4.019037930546523,5.096235958485958,48.077844655932246,10.192471916971916,69.78924323744451,25.481179792429792,116.54888616452115,50.962359584859584,174.3803185486211,101.92471916971917,266.76683604805913,152.88707875457877,347.13075489534714,305.77415750915753,559.7009602227695
ETSY,76.4558612942613,158.70630573073564,197.39311803327237,48.95269077371835,20.623860805860804,122.90806771840172,41.24772161172161,181.39140477315394,103.11930402930403,311.3254158949722,206.23860805860807,487.1986980119945,412.47721611721613,793.9192902198653,618.7158241758242,1082.1155523593682,1237.4316483516484,1909.7318736437414
EVRG,127.51355036630036,121.06054822095138,64.94201794810745,2.052269449159105,5.030056166056166,48.32563114881079,10.060112332112332,70.5494110790554,25.15028083028083,119.16284773683203,50.30056166056166,180.15929791053293,100.60112332112332,280.28515449927414,150.90168498168498,363.0793146945521,301.80336996336996,579.1078078028653
EW,121.43827875457876,833.9639770701995,115.13438818925519,6.443611450211379,9.520959096459096,111.564602031317,19.041918192918192,159.32823201294045,47.60479548229548,258.62774425512237,95.20959096459096,376.47273712464664,190.41918192918192,558.6873938458876,285.6287728937729,725.1808898070545,571.2575457875458,1140.882807210006
EXC,1135.3058532661782,995.8940754997651,50.26491511355314,5.094278108093851,61.67810622710623,393.50001257820946,123.35621245421245,600.6872254323952,308.39053113553115,1082.5041284640536,616.7810622710623,1755.1887872805742,1233.5621245421246,2946.5752952823273,1850.3431868131868,4068.2736200853246,3700.6863736263736,7275.436007242773
EXPD,106.82985274725274,210.55856689953077,118.60381248626376,10.364979856442138,9.838586385836386,75.81865387231721,19.677172771672772,113.33881541057966,49.19293192918193,196.36747002880202,98.38586385836386,305.85875175751505,196.77172771672772,496.4669078684826,295.1575915750916,669.7878543024818,590.3151831501832,1172.9666186554903
EXPE,89.58851947496947,283.8913555912595,175.476295792735,15.379028530695107,19.776724053724053,138.8974600089435,39.553448107448105,203.35103504091913,98.88362026862026,342.58886006230006,197.76724053724053,529.1688193363542,395.53448107448105,840.7497297740183,593.3017216117216,1121.5979271517824,1186.6034432234433,1919.2420638442588
EXR,71.54595641025641,74.39934572697373,197.10643284401704,12.450831255188199,2.3574609279609278,23.126487954901513,4.7149218559218555,33.35253094137473,11.78730463980464,54.638757997028684,23.57460927960928,79.7651113750489,47.14921855921856,118.20313460532627,70.72382783882784,150.74640280851355,141.4476556776557,235.68822037480336
F,8858.728718589744,7621.434087843487,18.064750896520138,2.985779939240826,236.73112057387058,1497.8321860080468,473.46224114774117,2190.005171244982,1183.6556028693528,3703.931531954086,2367.3112057387057,5615.88195717257,4734.622411477411,8753.119635131947,7101.933617216117,11571.581056912724,14203.867234432235,19118.650332530182
FANG,123.6631274114774,264.050008994526,114.52318972619047,17.239078398456485,22.21675305250305,141.84100137924025,44.4335061050061,207.31935615008018,111.08376526251526,350.5224498916859,222.16753052503051,537.2336017926109,444.33506105006103,861.5503232607191,666.5025915750916,1154.0747197341893,1333.0051831501833,1983.4001493417893
FAST,461.3572384615385,423.0536289577627,57.04864721001223,3.8136546935355806,26.53840628815629,169.5154903649663,53.07681257631258,255.8012032424635,132.69203144078145,453.06976877372097,265.3840628815629,721.8989110911103,530.7681257631258,1198.630771016251,796.1521886446886,1651.1341159359165,1592.3043772893773,2916.361426204218
FB,126.46547371794871,713.2625270766763,300.16184887026856,58.815614651882605,158.5000238095238,636.5915939662937,317.0000476190476,976.1326380153348,792.500119047619,1777.7455460400363,1585.000238095238,2900.2812016647804,3170.000476190476,4936.697582378879,4755.000714285714,6866.924217068842,9510.001428571428,12288.499400156785
FBHS,95.75698583638584,89.25280591301907,95.80309450763127,8.202390663789936,4.663735347985348,43.75374620225034,9.327470695970696,63.58676317424459,23.31867673992674,104.88320356126916,46.63735347985348,155.68628579084935,93.27470695970696,234.4980163203655,139.91206043956043,305.66664262720155,279.82412087912087,478.5496025754727
FCX,1169.7900980158731,1038.2472761024544,40.36223090537241,4.819234407851806,84.62733882783883,383.21927811790573,169.25467765567765,568.3487583601495,423.13669413919416,978.8748788867589,846.2733882783883,1519.2767124668085,1692.5467765567766,2423.56209912698,2538.8201648351646,3217.3801517170737,5077.640329670329,5408.401948472548
FDX,77.22789935897435,126.39386304071375,239.84945031379726,15.124113684064088,10.81213492063492,63.34080447833182,21.62426984126984,92.0543140635719,54.060674603174604,153.4171485963277,108.12134920634921,230.57645540777062,216.24269841269842,358.23849873596964,324.3640476190476,472.5178549996888,648.7280952380952,792.3699330214677
FE,616.1609257326007,370.70546511474953,40.135763975885226,2.3902451504952835,19.016253968253967,123.47935211034749,38.03250793650793,181.32405242998544,95.08126984126984,306.8541428671357,190.1625396825397,465.5239065542452,380.3250793650794,726.981630099188,570.4876190476191,965.369437744032,1140.9752380952382,1610.9313934848537
FFIV,61.43222307692308,90.51693491671075,214.5502189862638,15.371600112226991,4.289713064713065,43.433832893775424,8.57942612942613,63.9263434258339,21.448565323565322,108.68862494618007,42.897130647130645,165.0063093597301,85.79426129426129,258.3122122360193,128.69139194139194,339.498466146233,257.3827838827839,566.6325609077674
FIS,126.05265943223444,145.21706330461623,110.67888779151401,10.571555841384404,17.335181623931625,95.79495119441968,34.67036324786325,140.09085797425644,86.67590811965812,235.88765130463787,173.35181623931624,355.9627333340494,346.70363247863247,553.7936530603753,520.0554487179487,729.3008529001075,1040.1108974358974,1225.5604454788313
FISV,201.15862173382175,308.4768217449386,103.35900895879118,5.545027769498621,38.919528998779,208.43004024549307,77.839057997558,314.9148174211107,194.597644993895,560.3895997262335,389.19528998779,897.5338580363014,778.39057997558,1510.1340780717962,1167.58586996337,2086.6017802600936,2335.17173992674,3699.812215229256
FITB,1051.5448543345544,830.8950866302664,44.541257076007334,2.7484574555991133,50.99124816849817,268.358333066355,101.98249633699633,402.8503845130235,254.95624084249084,708.4617021047628,509.9124816849817,1131.6391152269377,1019.8249633699634,1863.4725166987585,1529.737445054945,2545.3816590938477,3059.47489010989,4450.528420557497
FLT,57.82881575091575,60.179227569598304,240.61698737942618,16.80424046086275,1.9080051892551892,21.424705195019644,3.8160103785103785,30.803505809623463,9.540025946275946,50.0636341150459,19.080051892551893,73.22247764252204,38.160103785103786,108.13830272831706,57.24015567765568,137.46477473925805,114.48031135531136,212.96172689362467
FMC,89.259971001221,87.30790474668827,107.67645494993894,11.5400021170325,3.877247863247863,34.53432183935824,7.754495726495726,50.03158352843046,19.386239316239315,82.77335547860886,38.77247863247863,122.74871570972259,77.54495726495726,185.322686087927,116.3174358974359,240.36364990950895,232.6348717948718,386.1308179699669
FOX,492.027407997558,1676.405026380672,36.639963351037856,1.95996887143534,11.773045482295482,162.38121953339802,23.546090964590963,237.31397180752197,58.86522741147741,395.5381025643982,117.73045482295483,595.5953289943421,235.46090964590965,927.8693554020234,353.1913644688645,1213.320087837488,706.382728937729,1984.1280048191375
FOXA,587.2838078449329,521.977633119825,39.66895773870574,2.264749968827513,28.979989621489622,211.7838147785351,57.959979242979244,312.75920434710395,144.8999481074481,544.1976492775766,289.7998962148962,842.0551957450936,579.5997924297924,1356.2871609821918,869.3996886446887,1828.6130555566651,1738.7993772893774,3151.728810206211
FRC,77.98146663614163,110.75065490844719,193.6136510393773,19.863070405344608,3.2231278998779,32.28467201271184,6.4462557997558,46.64116285523873,16.1156394993895,76.43785855187875,32.231278998779,112.195967000805,64.462557997558,168.00878982267955,96.693836996337,215.04341756540202,193.387673992674,340.87582436904836
FRT,71.65293000610501,66.21296120951247,124.57362454822955,5.803393064687799,1.8741956654456655,21.613750418476457,3.748391330891331,31.20679552357985,9.370978327228327,51.172112218616405,18.741956654456654,75.69810676525718,37.48391330891331,113.51968630840119,56.225869963369966,145.65417394472962,112.45173992673993,230.70084869887074
FTNT,64.19129792429793,112.43278798010665,318.14884783180725,20.516842229127242,9.626799755799755,73.0816247954976,19.25359951159951,107.32662346720004,48.13399877899878,181.8026921410243,96.26799755799756,277.1589592456456,192.53599511599512,438.32645600931386,288.8039926739927,582.0816858786579,577.6079853479854,974.591527447336
FTV,158.10676822344323,158.04726081230174,70.80350444658119,5.976947377600481,11.883613247863249,73.84865873556622,23.767226495726497,108.12167790719688,59.41806623931624,181.4391235255261,118.83613247863248,274.86239524348565,237.67226495726496,429.5714075626523,356.50839743589745,569.107932512715,713.0167948717949,945.6970781293559
GD,80.51513818681319,126.82732142333899,210.48243848412696,13.819021199306405,4.656978937728938,40.60401232279353,9.313957875457875,58.341913236526175,23.284894688644687,95.07014081913664,46.569789377289375,137.74910542429572,93.13957875457875,203.538130093052,139.70936813186813,258.43339913350206,279.41873626373626,401.71296564359056
GE,200.52145876068377,300.3785259516591,98.7955497713675,5.4642896552982325,34.35922313797314,166.71387143401526,68.71844627594628,244.73138468276989,171.7961156898657,417.27941513420143,343.5922313797314,645.5554061355296,687.1844627594628,1041.515620074282,1030.7766941391942,1399.887916744651,2061.5533882783884,2406.730281118096
GILD,802.1981031746031,877.6543048632172,66.99096542429794,4.53914670207494,70.25907844932846,406.2525457985407,140.5181568986569,618.7796793212434,351.2953922466422,1115.6452423769633,702.5907844932844,1784.182798112834,1405.181568986569,2998.094676241956,2107.7723534798533,4130.18142965728,4215.544706959707,7290.083145906389
GIS,423.72217213064715,289.56011785348994,64.53705880158732,3.3019718061071774,19.75468894993895,107.25983185588944,39.5093778998779,156.59797140550296,98.77344474969475,261.4623692780315,197.5468894993895,394.5741617955821,395.093778998779,614.5391433294806,592.6406684981685,811.6627223121242,1185.281336996337,1358.7810595631354
GL,86.47977716727716,74.2559298825489,96.41327740873015,5.2757651749234675,2.405125457875458,24.925527404724544,4.810250915750916,36.10242047155973,12.02562728937729,58.905200151103394,24.05125457875458,86.75645937295694,48.10250915750916,128.50435789726407,72.15376373626374,163.94910698411636,144.30752747252748,253.15350348018004
GLW,651.6128164529914,519.2110513215117,38.30616884004884,1.8187151241632762,22.847139194139196,148.60372532743946,45.69427838827839,217.70356413505138,114.23569597069597,364.56864972616654,228.47139194139194,548.5703225519528,456.9427838827839,845.7311252986765,685.4141758241758,1102.010252497031,1370.8283516483516,1802.6980074713674
GM,819.9488050976801,685.2141907794044,53.723930383394375,6.4641652710512645,90.35275030525031,372.5540461337998,180.70550061050062,557.0786105116994,451.76375152625155,977.2227923586402,903.5275030525031,1551.1751755271043,1807.0550061050062,2535.9368916612198,2710.5825091575093,3460.063647584405,5421.165018315019,5918.989280337843
GNRC,48.72906581196581,78.82029521259608,366.98074826098883,69.20034593995382,2.5683253968253967,29.746005079827697,5.1366507936507935,42.674021837031106,12.841626984126984,68.89630318522916,25.68325396825397,100.07371596975567,51.36650793650794,147.35289854557837,77.04976190476191,185.81770931528945,154.09952380952382,288.3743411686655
